type_string,expansion
str,string
string,string
integer,integer
int,int
float,float
boolean,boolean
bool,bool
list,list
lst,list
array,array
arr,array
tuple,tuple
tpl,tuple
dictionary,dictionary
dict,dictionary
obj,object
object,object
set,set
function,function
fn,function
vector,vector
char,char
ch,char
double,double
byte,byte
enum,enum
datetime,datetime
dt,datetime
timestamp,timestamp
file,file
frozenset,frozenset
lambda,lambda
struct,struct
union,union
iterator,iterator
strs,strings
strings,strings
integers,integers
ints,ints
floats,floats
booleans,booleans
bools,bools
lists,lists
lsts,lists
arrays,arrays
arrs,arrays
tuples,tuples
tpls,tuples
dictionaries,dictionaries
dicts,dictionaries
objs,objects
objects,objects
sets,sets
functions,functions
fns,functions
vectors,vectors
chars,chars
chs,chars
doubles,doubles
bytes,bytes
enums,enums
datetimes,datetimes
dts,datetimes
timestamps,timestamps
files,files
frozensets,frozensets
lambdas,lambdas
structs,structs
unions,unions
iterators,iterators

